vreg,divider,range,freqa,freqb,clock_freq
11,01,fa7,0017,7777,177814
11,01,fa7,0037,0001,184335
11,01,fa7,0037,0003,183383
11,01,fa7,0037,0005,183588
11,01,fa7,0037,0007,182623
11,01,fa7,0037,0017,182736
11,01,fa7,0037,0037,182875
11,01,fa7,0037,0057,182988
11,01,fa7,0037,0077,182940
11,01,fa7,0037,0177,183247
11,01,fa7,0037,0377,183289
11,01,fa7,0037,0577,183292
11,01,fa7,0037,0777,183291
11,01,fa7,0037,1777,183286
11,01,fa7,0037,3777,183332
11,01,fa7,0037,5777,183310
11,01,fa7,0037,7777,183435
11,01,fa7,0057,0001,184603
11,01,fa7,0057,0003,183781
11,01,fa7,0057,0005,183869
11,01,fa7,0057,0007,182888
11,01,fa7,0057,0017,183313
11,01,fa7,0057,0037,183191
11,01,fa7,0057,0057,183025
11,01,fa7,0057,0077,183239
11,01,fa7,0057,0177,183396
11,01,fa7,0057,0377,183412
11,01,fa7,0057,0577,183451
11,01,fa7,0057,0777,183499
11,01,fa7,0057,1777,183418
11,01,fa7,0057,3777,183408
11,01,fa7,0057,5777,183377
11,01,fa7,0057,7777,183273
11,01,fa7,0077,0001,187228
11,01,fa7,0077,0003,186390
11,01,fa7,0077,0005,186341
11,01,fa7,0077,0007,185599
11,01,fa7,0077,0017,185701
11,01,fa7,0077,0037,185806
11,01,fa7,0077,0057,185767
11,01,fa7,0077,0077,185943
11,01,fa7,0077,0177,186296
11,01,fa7,0077,0377,186216
11,01,fa7,0077,0577,186324
11,01,fa7,0077,0777,186399
11,01,fa7,0077,1777,186319
11,01,fa7,0077,3777,186161
11,01,fa7,0077,5777,186236
11,01,fa7,0077,7777,186376
11,01,fa7,0177,0001,201614
11,01,fa7,0177,0003,200524
11,01,fa7,0177,0005,200541
11,01,fa7,0177,0007,199462
11,01,fa7,0177,0017,199818
11,01,fa7,0177,0037,199911
11,01,fa7,0177,0057,199892
11,01,fa7,0177,0077,200037
11,01,fa7,0177,0177,200292
11,01,fa7,0177,0377,200171
11,01,fa7,0177,0577,200196
11,01,fa7,0177,0777,200128
11,01,fa7,0177,1777,200105
11,01,fa7,0177,3777,200173
11,01,fa7,0177,5777,200210
11,01,fa7,0177,7777,200250
11,01,fa7,0377,0001,206691
11,01,fa7,0377,0003,205608
11,01,fa7,0377,0005,205730
11,01,fa7,0377,0007,204581
11,01,fa7,0377,0017,204933
11,01,fa7,0377,0037,205188
11,01,fa7,0377,0057,205156
11,01,fa7,0377,0077,205263
11,01,fa7,0377,0177,205487
11,01,fa7,0377,0377,205676
11,01,fa7,0377,0577,205458
11,01,fa7,0377,0777,205717
11,01,fa7,0377,1777,205777
11,01,fa7,0377,3777,205790
11,01,fa7,0377,5777,205716
11,01,fa7,0377,7777,205634
11,01,fa7,0577,0001,207763
11,01,fa7,0577,0003,206337
11,01,fa7,0577,0005,206630
11,01,fa7,0577,0007,205522
11,01,fa7,0577,0017,205927
11,01,fa7,0577,0037,206066
11,01,fa7,0577,0057,206078
11,01,fa7,0577,0077,206095
11,01,fa7,0577,0177,206499
11,01,fa7,0577,0377,206462
11,01,fa7,0577,0577,206495
11,01,fa7,0577,0777,206437
11,01,fa7,0577,1777,206478
11,01,fa7,0577,3777,206182
11,01,fa7,0577,5777,206435
11,01,fa7,0577,7777,206487
11,01,fa7,0777,0001,210165
11,01,fa7,0777,0003,209155
11,01,fa7,0777,0005,209145
11,01,fa7,0777,0007,208026
11,01,fa7,0777,0017,208391
11,01,fa7,0777,0037,208441
11,01,fa7,0777,0057,208520
11,01,fa7,0777,0077,208581
11,01,fa7,0777,0177,208894
11,01,fa7,0777,0377,208963
11,01,fa7,0777,0577,208880
11,01,fa7,0777,0777,208927
11,01,fa7,0777,1777,208959
11,01,fa7,0777,3777,209062
11,01,fa7,0777,5777,209082
11,01,fa7,0777,7777,208957
11,01,fa7,1777,0001,236154
11,01,fa7,1777,0003,235358
11,01,fa7,1777,0005,235484
11,01,fa7,1777,0007,234838
11,01,fa7,1777,0017,234836
11,01,fa7,1777,0037,234968
11,01,fa7,1777,0057,234864
11,01,fa7,1777,0077,234904
11,01,fa7,1777,0177,235196
11,01,fa7,1777,0377,235205
11,01,fa7,1777,0577,235193
11,01,fa7,1777,0777,235178
11,01,fa7,1777,1777,235153
11,01,fa7,1777,3777,235274
11,01,fa7,1777,5777,235299
11,01,fa7,1777,7777,235213
11,01,fa7,3777,0001,246753
11,01,fa7,3777,0003,246310
11,01,fa7,3777,0005,246317
11,01,fa7,3777,0007,245782
11,01,fa7,3777,0017,245872
11,01,fa7,3777,0037,245928
11,01,fa7,3777,0057,245850
11,01,fa7,3777,0077,245894
11,01,fa7,3777,0177,246134
11,01,fa7,3777,0377,246191
11,01,fa7,3777,0577,246093
11,01,fa7,3777,0777,246227
11,01,fa7,3777,1777,246202
11,01,fa7,3777,3777,246198
11,01,fa7,3777,5777,246227
11,01,fa7,3777,7777,246281
11,01,fa7,5777,0001,246797
11,01,fa7,5777,0003,246364
11,01,fa7,5777,0005,246370
11,01,fa7,5777,0007,245867
11,01,fa7,5777,0017,245924
11,01,fa7,5777,0037,246003
11,01,fa7,5777,0057,245934
11,01,fa7,5777,0077,245989
11,01,fa7,5777,0177,246226
11,01,fa7,5777,0377,246222
11,01,fa7,5777,0577,246345
11,01,fa7,5777,0777,246302
11,01,fa7,5777,1777,246203
11,01,fa7,5777,3777,246322
11,01,fa7,5777,5777,246393
11,01,fa7,5777,7777,246325
11,01,fa7,7777,0001,252669
11,01,fa7,7777,0003,252278
11,01,fa7,7777,0005,252311
11,01,fa7,7777,0007,251921
11,01,fa7,7777,0017,251935
11,01,fa7,7777,0037,252014
11,01,fa7,7777,0057,251918
11,01,fa7,7777,0077,251914
11,01,fa7,7777,0177,252189
11,01,fa7,7777,0377,252116
11,01,fa7,7777,0577,252120
11,01,fa7,7777,0777,251791
11,01,fa7,7777,1777,252162
11,01,fa7,7777,3777,252165
11,01,fa7,7777,5777,252167
11,01,fa7,7777,7777,252137
11,01,fa6,0001,0001,248311
11,01,fa6,0001,0003,248290
11,01,fa6,0001,0005,248168
11,01,fa6,0001,0007,248177
11,01,fa6,0001,0017,247946
11,01,fa6,0001,0037,247819
11,01,fa6,0001,0057,247647
11,01,fa6,0001,0077,247773
11,01,fa6,0001,0177,247221
11,01,fa6,0001,0377,246823
11,01,fa6,0001,0577,246838
11,01,fa6,0001,0777,246723
11,01,fa6,0001,1777,246496
11,01,fa6,0001,3777,246598
11,01,fa6,0001,5777,246688
11,01,fa6,0001,7777,246662
11,01,fa6,0003,0001,256885
11,01,fa6,0003,0003,256790
11,01,fa6,0003,0005,256749
11,01,fa6,0003,0007,256718
11,01,fa6,0003,0017,256335
11,01,fa6,0003,0037,256157
11,01,fa6,0003,0057,256201
11,01,fa6,0003,0077,256183
11,01,fa6,0003,0177,255689
11,01,fa6,0003,0377,255395
11,01,fa6,0003,0577,255421
11,01,fa6,0003,0777,255201
11,01,fa6,0003,1777,254904
11,01,fa6,0003,3777,254827
11,01,fa6,0003,5777,254807
11,01,fa6,0003,7777,254766
11,01,fa6,0005,0001,256855
11,01,fa6,0005,0003,256742
11,01,fa6,0005,0005,256712
11,01,fa6,0005,0007,256650
11,01,fa6,0005,0017,256244
11,01,fa6,0005,0037,256133
11,01,fa6,0005,0057,256157
11,01,fa6,0005,0077,256116
11,01,fa6,0005,0177,255597
11,01,fa6,0005,0377,255340
11,01,fa6,0005,0577,255380
11,01,fa6,0005,0777,255132
11,01,fa6,0005,1777,254826
11,01,fa6,0005,3777,254746
11,01,fa6,0005,5777,254704
